(1,79)
(2,73)
(3,74)
(4,74)
(5,74)
(6,-251)
(7,-252)
(8,-252)
(9,80)
(10,77)
(11,75)
(12,75)
(13,76)
(14,80)
(15,-250)
(16,79)
(17,79)
(18,80)
(19,82)
(20,79)
(21,80)
(22,78)
(23,76)
(24,80)
(25,80)
(26,79)
(27,-249)
(28,83)
(29,80)
(30,81)
(31,82)
(32,81)
(33,80)
(34,82)
(35,83)
(36,82)
(37,83)
(38,82)
(39,-245)
(40,80)
(41,78)
(42,83)
(43,-244)
(44,83)
(45,85)
(46,81)
(47,82)
(48,84)
(49,85)
(50,81)
(51,83)
(52,84)
(53,86)
(54,-235)
(55,-236)
(56,88)
(57,-234)
(58,-232)
(59,-233)
(60,86)
(61,86)
(62,88)
(63,87)
(64,90)
(65,89)
(66,86)
(67,89)
(68,92)
(69,88)
(70,90)
(71,91)
(72,90)
(73,91)
(74,93)
(75,91)
(76,-231)
(77,91)
(78,92)
(79,90)
(80,86)
(81,90)
(82,-236)
(83,-236)
(84,93)
(85,-238)
(86,89)
(87,90)
(88,89)
(89,91)
(90,91)
(91,87)
(92,90)
(93,-243)
(94,-244)
(95,-246)
(96,94)
(97,92)
(98,-245)
(99,-244)
(100,95)
(101,94)
(102,96)
(103,-32)
(104,-38)
(105,-40)
(106,-40)
(107,-44)
(108,98)
(109,100)
(110,99)
(111,-236)
(112,-44)
(113,-43)
(114,-42)
(115,-43)
(116,94)
(117,96)
(118,95)
(119,97)
(120,93)
(121,-230)
(122,-41)
(123,96)
(124,95)
(125,100)
(126,97)
(127,98)
(128,98)
(129,-230)
(130,-231)
(131,-232)
(132,-232)
(133,96)
(134,-233)
(135,96)
(136,97)
(137,-231)
(138,103)
(139,101)
(140,96)
(141,97)
(142,-235)
(143,96)
(144,97)
(145,-235)
(146,-233)
(147,-233)
(148,-233)
(149,102)
(150,-236)
(151,102)
(152,102)
(153,101)
(154,101)
(155,101)
(156,-234)
(157,-232)
(158,-233)
(159,-230)
(160,-232)
(161,-40)
(162,-229)
(163,100)
(164,104)
(165,-41)
(166,-44)
(167,-46)
(168,-44)
(169,-44)
(170,-47)
(171,-43)
(172,-224)
(173,-46)
(174,-46)
(175,-48)
(176,-49)
(177,-50)
(178,-221)
(179,101)
(180,104)
(181,97)
(182,-218)
(183,-216)
(184,97)
(185,-216)
(186,-42)
(187,-42)
(188,-212)
(189,-212)
(190,-211)
(191,-212)
(192,-213)
(193,-212)
(194,-209)
(195,100)
(196,-214)
(197,-210)
(198,-211)
(199,102)
(200,97)
(201,99)
(202,-211)
(203,93)
(204,94)
(205,-211)
(206,-212)
(207,0)
